SqFtTotLiving_x1000,SqFtLot_x1000,SqFtDriveway_x1000,Bathrooms,Bedrooms,AdjSalePrice_x100000
2.4,9.373,1,3.0,6,3.00805
3.2,8.618,1,3.75,5,4.42065
1.72,8.62,1,1.75,4,2.97065
0.93,1.012,1,1.5,2,4.1178099999999995
1.86,14.659,1,1.75,4,3.4948900000000003
0.99,5.324,1,1.0,2,2.31239
1.98,10.585,1,2.0,4,4.631480000000001
0.84,12.75,1,1.0,2,1.60236
1.75,5.2,1,1.0,3,3.7217800000000003
0.79,5.24,1,1.0,2,3.15175
0.79,5.24,1,1.0,2,3.27739
2.12,7.32,1,2.75,3,6.34754
2.62,3.485,1,1.5,4,4.323519999999999
1.5,5.253,1,1.75,3,5.05014
2.07,4.6,1,2.25,3,5.028569999999999
1.53,3.296,1,2.5,3,5.38921
1.53,3.696,1,2.5,3,5.18725
2.78,13.349,1,2.5,3,8.02796
2.42,8.186,1,2.5,3,6.94292
2.28,9.093,1,2.5,4,6.712460000000001
2.28,9.093,1,2.5,4,6.41815
3.13,8.75,1,2.5,3,9.36052
3.06,9.055,1,3.25,3,7.68075
3.19,10.223,1,3.5,3,8.53936
3.13,13.412,1,2.75,4,8.4228
2.66,9.021,1,2.5,3,6.39944
2.23,9.948,1,2.75,3,7.353330000000001
2.341,9.594,1,2.5,4,6.03442
3.54,9.185,1,3.75,4,7.71088
2.47,9.001,1,2.5,3,7.085710000000001
2.81,9.012,1,2.5,4,7.44245
2.59,9.1,1,2.5,4,7.550269999999999
2.33,5.42,1,2.75,3,4.29116
1.85,4.5,1,2.5,3,3.74781
1.85,4.5,1,2.5,3,3.1017900000000003
1.92,4.8,1,2.5,4,3.7582199999999997
1.85,4.597,1,2.5,3,3.9910099999999997
1.85,4.597,1,2.5,3,2.77671
0.92,5.085,1,1.0,3,2.86265
1.19,5.635,1,1.0,3,2.9414599999999997
1.29,4.543,1,1.0,3,2.32692
2.47,7.8,1,2.25,4,5.5014199999999995
2.73,9.03,1,2.5,5,5.75747
1.98,9.8,1,2.75,4,6.124280000000001
1.47,9.75,1,1.75,3,4.51523
2.41,11.0,1,2.5,4,5.70862
1.85,9.2,1,2.0,3,4.6679699999999995
1.69,7.14,1,1.75,3,6.67157
1.51,7.14,1,1.5,3,6.42577
1.5,8.568,1,1.5,3,7.11375
3.62,7.821,1,3.5,5,7.04518
3.06,8.736,1,2.5,3,8.63533
1.24,4.0,1,2.0,3,4.888319999999999
1.49,5.32,1,1.75,3,4.6468300000000005
1.79,5.098,1,2.5,3,7.5331399999999995
1.79,5.098,1,2.5,3,8.58177
2.23,5.46,1,3.25,3,7.17316
0.76,4.32,1,1.0,2,3.3402
2.08,7.98,1,1.75,3,3.86288
1.18,5.32,1,1.75,3,3.68105
1.13,8.631,1,1.75,3,3.0455400000000004
2.13,8.428,1,2.5,5,3.9679699999999998
0.78,16.344,1,1.0,2,0.85269
1.8,7.288,1,2.5,3,4.335380000000001
2.1,7.92,1,2.0,4,3.0594200000000003
